Wall time,Step,Value
1715614605.403353,185,-3332.254150390625
1715615415.7581415,470,-2266.51513671875
1715615515.7449908,509,-1934.4725341796875
1715616041.6769087,618,-356.46075439453125
1715616976.0289738,841,-2812.066162109375
1715617364.5253437,927,35.402591705322266
1715617540.569174,971,-2505.6806640625
1715617698.3121326,1006,-2770.5087890625
1715617980.449298,1056,-5165.32177734375
1715618128.2644815,1112,-1618.6978759765625
1715618673.6686225,1240,-1089.31005859375
1715618777.665063,1276,-1806.3480224609375
1715618847.3252306,1294,-1471.748046875
1715618854.3926868,1295,-240.0
1715619923.6020112,1559,-3509.3779296875
1715620270.7410915,1660,-857.4323120117188
1715620505.7945426,1703,-4270.09130859375
1715620563.9650578,1718,-1233.157958984375
1715620584.7501717,1728,-571.417724609375
1715620920.7395093,1836,-224.2152099609375
1715621691.9779065,2000,-430.9627380371094
1715622438.8123422,2161,-245.0
1715623806.7270517,2419,-1017.20849609375
1715623945.2664196,2479,-1240.71337890625
1715623979.299714,2494,-751.9892578125
1715624836.1528163,2658,-5197.5400390625
1715625088.1953049,2727,-1854.5789794921875
1715625750.84834,2918,-277.9071960449219
1715625913.7288752,2964,-1835.2039794921875
1715626144.422345,3008,-4142.05712890625
1715627328.5314848,3255,-924.2582397460938
1715627416.2468762,3280,-522.906494140625
1715627503.8913755,3312,-1571.929443359375
1715628511.636523,3500,-1906.0103759765625
1715629071.4387038,3623,-1717.6378173828125
1715629109.7838602,3639,-407.05035400390625
1715629135.5606108,3653,-766.30029296875
1715629243.3861668,3699,-769.3540649414062
1715630100.8051271,3840,-2648.4521484375
1715630145.345426,3851,-1025.2401123046875
1715630374.8165185,3906,-2660.264892578125
1715630661.311297,3991,-544.3202514648438
1715630667.8561764,3994,-314.3846740722656
1715630817.1948876,4054,-240.0
1715630851.7048748,4064,-604.995361328125
1715630883.23373,4077,-626.8712158203125
1715631353.2083912,4167,-1281.7880859375
1715631515.693494,4204,-3083.05517578125
1715631945.0353096,4306,-314.9474182128906
1715633045.767286,4518,-438.9784851074219
1715633285.7966588,4564,-4448.33203125
1715633315.7085164,4572,-672.61181640625
1715633730.744889,4648,-3546.10693359375
1715634595.8205626,4861,-6289.28564453125
1715634915.5447032,4951,-1177.990478515625
1715635330.4383302,5023,-648.935546875
1715635734.0457861,5097,-4309.9892578125
1715636591.9492638,5282,-280.0
1715637650.6286762,5484,-4829.873046875
1715638346.6690016,5616,-3386.676025390625
1715638361.0221243,5619,-314.23760986328125
1715638586.3780134,5671,-916.1847534179688
1715638758.8601642,5706,-209.0
1715639186.9474843,5800,-3345.023681640625
1715639387.999548,5851,-1121.7386474609375
1715639991.1503496,5986,-2476.6123046875
1715640711.434506,6162,-1357.72265625
1715641102.0580313,6236,-212.24993896484375
1715641163.219237,6249,-1278.272216796875
1715641299.877647,6280,-763.029296875
1715641352.1026747,6295,-1135.2601318359375
1715641664.6795762,6390,-51.72530746459961
1715641833.504533,6417,-3105.110107421875
1715642039.575763,6451,-3064.38525390625
1715642355.4510593,6500,-539.0752563476562
1715642599.0667584,6571,-464.4526672363281
1715642608.133213,6575,-352.71697998046875
1715643193.3512642,6706,-3460.64404296875
1715643223.3659623,6712,-643.7244262695312
1715643281.877765,6722,-1121.8687744140625
1715643827.2020278,6819,-3545.066162109375
1715644343.343693,6947,-714.9297485351562
1715645142.208357,7127,-1043.0615234375
1715645937.2515213,7317,-732.5619506835938
1715646082.420959,7369,-1113.921142578125
1715646722.5834117,7518,-1823.0570068359375
1715646921.4952397,7580,-1071.8701171875
1715647097.1302302,7614,-277.49615478515625
1715647498.7275577,7707,-881.0729370117188
1715647737.8417604,7777,-549.0438232421875
1715647909.5728452,7803,-3159.571044921875
1715649232.1624591,8140,-3950.0517578125
1715649758.9400258,8263,-576.3582763671875
1715649769.3724313,8267,-370.3671875
1715649818.5645986,8281,-257.1700439453125
1715650284.2598925,8372,-1995.574951171875
1715651394.4182494,8583,-2613.474853515625
1715651619.076935,8620,-2393.408935546875
1715651722.5302503,8654,-2114.357421875
1715651883.5572343,8686,-717.4468383789062
1715652270.3319871,8776,-1511.390869140625
1715652762.6400454,8896,-426.3799743652344
1715653005.1736312,8949,-2107.60107421875
1715653050.78017,8966,-1032.8829345703125
1715653749.4151757,9122,-398.1683349609375
1715653764.9850214,9128,-400.64788818359375
1715654746.6033049,9356,-538.3612060546875
1715654778.4048073,9371,-718.3141479492188
1715654969.1014602,9442,-890.8353271484375
1715655069.8802137,9463,-1623.4305419921875
1715655833.8505774,9644,-506.9260559082031
1715656435.9118352,9754,-1023.8251953125
1715656548.4655118,9776,-240.0
1715656741.620627,9827,-1669.6751708984375
1715657282.5622413,9947,-640.985107421875
1715657856.6839201,10083,-2873.79931640625
1715657975.104975,10103,-1680.0130615234375
1715658278.6487002,10173,-2715.749267578125
1715658794.1433392,10275,-763.6543579101562
1715659414.4944315,10442,-605.2415161132812
1715659559.040316,10465,-2622.97119140625
1715660263.232845,10595,-1928.452392578125
1715660315.3358011,10605,-260.0
1715660544.9248679,10660,-1043.3653564453125
1715660556.6497056,10662,-335.8056640625
1715660762.177874,10742,-390.90771484375
1715661138.9251626,10812,-275.80633544921875
1715661169.8555048,10819,-702.6392211914062
1715661431.0872605,10873,-666.9196166992188
1715661478.342259,10888,-162.1763916015625
1715661523.3048215,10913,-1173.35791015625
1715661644.9760563,10948,-1588.9246826171875
1715661897.8543532,11048,-1990.5843505859375
1715661916.848827,11053,-371.410888671875
1715662208.9659984,11109,-240.0
1715662242.8919775,11119,-811.04833984375
1715662634.3524551,11210,-2716.7607421875
1715662743.6934643,11233,-1328.6175537109375
1715663402.88211,11368,-6449.466796875
1715663555.7028239,11427,-817.6212158203125
1715663869.032201,11502,-931.1287841796875
1715664165.1372344,11578,-1470.685302734375
1715664204.8282487,11590,-426.7781677246094
1715665124.173225,11818,-2351.82080078125
1715665676.4896243,11964,-1333.57470703125
1715665692.699775,11969,-398.4186706542969
1715665946.3177733,12023,-2079.160400390625
1715665956.9367194,12028,-389.67230224609375
1715665989.148378,12042,-748.3281860351562
1715666090.8652232,12066,-2024.78955078125
1715666158.4675136,12079,-959.8367919921875
1715666451.3152506,12125,-1453.477294921875
1715666524.3242462,12148,-276.5497741699219
1715666800.4765782,12200,-839.3173828125
1715667132.2296119,12262,-2076.4990234375
1715667235.751203,12300,-713.7936401367188
1715667445.3469896,12358,-1677.303466796875
1715667580.7695088,12381,-2544.184326171875
1715667783.1915355,12439,-397.1935119628906
1715667929.419004,12488,-97.54396057128906
1715668282.678771,12553,-2397.31982421875
1715668326.0009367,12563,-926.15234375
1715668505.9096336,12631,-2277.688232421875
1715668535.305272,12636,-618.8159790039062
1715668966.9406133,12736,-2955.7080078125
1715669037.3932476,12756,-1489.7869873046875
1715669303.4920542,12821,-997.238037109375
1715669494.0183437,12861,-1354.7283935546875
1715669966.1312292,12941,-795.5008544921875
1715670095.6120005,13001,-395.2538146972656
1715670126.4108193,13013,-296.8591003417969
1715670408.598744,13059,-3660.276123046875
1715670673.8081892,13136,-435.7072448730469
1715670842.2083356,13202,-2127.425537109375
1715671384.0948648,13306,-3268.888916015625
1715671589.305591,13342,-3875.6796875
1715671614.894759,13350,-580.6554565429688
1715671786.7530484,13379,-3196.227783203125
1715672375.9342659,13489,-1522.9439697265625
1715672926.5576313,13622,-728.2661743164062
1715672965.0016158,13634,-410.0
1715673000.8655403,13653,-993.3799438476562
1715673135.8169808,13684,-2036.5419921875
1715673282.8828857,13758,-759.7158203125
1715673665.3870518,13824,-3112.0498046875
1715673671.1342168,13827,-314.5528869628906
1715673831.4961522,13877,-1016.9927368164062
1715674059.165705,13915,-852.3823852539062
1715674230.7069886,13952,-1593.72802734375
1715674991.3533354,14099,-535.6668090820312
1715675069.6068916,14115,-1587.168212890625
1715675215.2535017,14159,-482.180419921875
1715675249.664586,14166,-806.439208984375
1715675258.867619,14169,-317.7874450683594
1715675339.1123605,14195,-690.4613037109375
1715675494.6792297,14219,-2764.987060546875
1715676038.998439,14325,-3978.562255859375
