Wall time,Step,Value
1712756116.8195586,173,-466.3707580566406
1712757957.546554,506,-3387.4658203125
1712759220.665052,737,-5622.435546875
1712762026.1894186,1250,-2385.1474609375
1712762425.5997944,1330,-4056.173095703125
1712762873.638048,1420,-5552.48291015625
1712763406.3436985,1531,-1328.743896484375
1712763806.345003,1611,-1508.7548828125
1712765524.653183,1967,-4803.69140625
1712765924.2178743,2046,-1507.7149658203125
1712767966.673867,2459,-4877.517578125
1712768978.7053819,2651,-5990.47900390625
1712769316.1869683,2719,-1812.211669921875
1712769431.4617977,2747,-2340.646728515625
1712770031.2056525,2874,-3106.6494140625
1712770931.9742897,3052,-419.415283203125
1712772260.2830546,3290,-3070.264892578125
1712773390.245364,3518,-5245.3564453125
1712773881.2583728,3612,-727.288818359375
1712774163.7917411,3672,-2196.74609375
1712774747.7770188,3777,-1602.832763671875
1712775468.2727935,3904,-1954.254150390625
1712775963.6979609,3993,-1315.498291015625
1712776068.1841,4012,-692.285888671875
1712776112.829638,4020,-978.579833984375
1712776382.1401746,4072,-2140.659912109375
1712777100.292606,4197,-856.507568359375
1712777810.7413166,4332,-752.5785522460938
1712777867.429235,4341,-1290.843505859375
1712778352.2549245,4427,-1432.411376953125
1712779052.8760688,4571,-1405.5220947265625
1712779952.8098745,4715,-5790.0
1712780478.1596193,4803,-648.2883911132812
1712781742.655613,5019,-437.7242126464844
1712782372.3016179,5118,-4971.27099609375
1712782589.1855795,5157,-470.49285888671875
1712782971.5737019,5220,-1452.8997802734375
1712783222.9683082,5266,-1243.7252197265625
1712783337.865385,5291,-1130.58349609375
1712784377.3249009,5473,-739.9754638671875
1712784684.8376136,5524,-2540.0
1712785046.5917165,5591,-1500.0
1712785479.1165893,5660,-1444.3197021484375
1712785571.8670466,5676,-529.5244140625
1712786236.769421,5786,-996.4735107421875
1712786307.978763,5799,-1594.39697265625
1712787221.9326234,5964,-2191.6865234375
1712787734.471769,6054,-270.0
1712788065.8447394,6118,-1403.4501953125
1712789708.0153244,6384,-2313.350341796875
1712790002.4173915,6435,-1313.9954833984375
1712790798.18158,6570,-967.82373046875
1712793363.7589066,7022,-830.5120239257812
1712793383.115817,7025,-437.1953430175781
1712794418.8911068,7202,-1289.9822998046875
1712794596.7210913,7230,-2150.0
1712794610.6826813,7233,-365.4424133300781
1712794687.3918378,7243,-300.0
1712795089.7673254,7303,-1890.0
1712795393.6572511,7354,-751.424560546875
1712795531.2684212,7377,-1370.0
1712795565.2292452,7384,-761.694091796875
1712796430.0594637,7519,-1890.0
1712797444.9412746,7699,-1630.0
1712797493.0706513,7711,-310.0
1712798592.992029,7897,-566.4617309570312
1712798713.4735594,7914,-1500.0
1712798931.9473321,7957,-2111.7353515625
