Wall time,Step,Value
1712756264.6678872,200,213707.6875
1712757355.618782,400,219596.9375
1712758420.7579277,600,48120.953125
1712759607.2974515,800,177252.28125
1712760716.6769013,1000,130454.125
1712761758.6815486,1200,60164.16015625
1712762767.7988615,1400,7274.2978515625
1712763745.1145453,1600,174472.3125
1712764716.9586427,1800,114537.109375
1712765701.945726,2000,241904.78125
1712766682.6249485,2200,268970.28125
1712767664.7027771,2400,182381.296875
1712768677.3312733,2600,80282.359375
1712769671.0485687,2800,99060.3671875
1712770647.4393356,3000,106440.890625
1712771756.515786,3200,149824.1875
1712772803.8778849,3400,154005.0625
1712773820.7368472,3600,115438.984375
1712774844.64177,3800,49758.1640625
1712776000.0163412,4000,116059.234375
1712777116.813829,4200,56368.5078125
1712778206.2640646,4400,60586.734375
1712779240.334881,4600,64318.0234375
1712780458.5794113,4800,53963.609375
1712781618.512225,5000,42927.63671875
1712782851.930624,5200,43550.24609375
1712783980.3619244,5400,26479.775390625
1712785105.4895585,5600,66125.578125
1712786314.23622,5800,112925.25
1712787412.088014,6000,45279.171875
1712788582.6630523,6200,62142.78125
1712789813.8049088,6400,45426.56640625
1712790973.2732577,6600,58046.55859375
1712792079.798944,6800,50017.26953125
1712793259.166897,7000,26578.34375
1712794403.5713305,7200,63633.21875
1712795672.090447,7400,50683.65234375
1712796883.455978,7600,66684.1328125
1712797996.0119133,7800,109344.6796875
1712799190.167711,8000,23569.5546875
1712800309.9821367,8200,116191.2734375
1712801487.6044848,8400,71957.9375
1712802627.3615067,8600,113412.8984375
1712803753.423451,8800,88430.3125
1712804880.3220537,9000,42826.15625
1712806157.6119602,9200,56089.98828125
1712807350.8811724,9400,34327.77734375
1712808502.9839191,9600,90342.7734375
1712809654.2328107,9800,46070.51171875
1712810819.4730086,10000,39196.8515625
1712811961.7088916,10200,93182.5
1712813167.3541765,10400,49022.41015625
1712814282.7407744,10600,39818.03125
1712815443.716483,10800,80251.90625
1712816587.932375,11000,25090.125
1712817779.178404,11200,67727.578125
1712819003.0269523,11400,50366.34375
1712820185.295235,11600,76110.828125
1712821311.6709907,11800,68975.609375
1712822455.493315,12000,34484.8984375
1712823589.2325733,12200,54643.390625
1712824742.2752492,12400,71058.7109375
1712825852.5635555,12600,81948.7265625
1712827036.0193121,12800,108335.046875
1712828193.0091088,13000,48176.75
1712829401.2448304,13200,65046.1328125
1712830552.3473313,13400,28105.85546875
1712831739.2280793,13600,85527.109375
1712832985.784554,13800,31460.703125
1712834151.636433,14000,133988.4375
1712835298.6786258,14200,47119.328125
1712836419.3884387,14400,75437.203125
1712837642.337288,14600,92879.421875
1712838819.7098804,14800,86016.546875
1712839925.3407383,15000,34785.296875
1712841075.966136,15200,45238.66796875
1712842136.3614619,15400,30780.525390625
1712843388.5873141,15600,39454.5390625
1712844589.6116343,15800,37340.11328125
1712845721.6297984,16000,63189.55859375
1712846830.459017,16200,84477.640625
1712848004.554101,16400,50960.8828125
1712849139.737334,16600,31920.14453125
1712850278.2270272,16800,35303.25
1712851471.4953783,17000,31390.44140625
1712852636.5605342,17200,38041.4296875
1712853763.8985503,17400,31811.931640625
1712854974.7799609,17600,57115.0078125
1712856109.4135683,17800,74309.53125
1712857298.4683287,18000,27896.25
1712858376.9812167,18200,59327.5703125
1712859568.374137,18400,22020.896484375
1712860685.3475885,18600,60742.93359375
1712861849.881995,18800,76651.640625
1712863058.389232,19000,37937.8125
1712864266.7620966,19200,33554.875
1712865465.6750164,19400,34447.4140625
1712866569.33268,19600,53345.703125
1712867742.8910298,19800,39732.3515625
1712868964.534416,20000,65186.81640625
1712870070.147438,20200,35373.26953125
1712871233.8496118,20400,30688.220703125
1712872460.0696192,20600,40666.97265625
1712873644.1254873,20800,45530.8046875
1712874758.6163163,21000,62300.5
1712875974.5893898,21200,46340.26953125
1712877141.1250646,21400,27120.1015625
1712878318.2906926,21600,60765.61328125
1712879426.1004262,21800,22391.765625
1712880550.0890584,22000,111311.1875
1712881662.2238152,22200,21988.6484375
1712882829.549911,22400,63198.6796875
1712884013.8543572,22600,53794.48046875
1712885245.2686698,22800,34783.1796875
1712886428.0537248,23000,31497.45703125
1712887554.0595376,23200,29339.123046875
1712888717.656149,23400,52531.8515625
1712889937.8273497,23600,21186.76171875
1712891093.891093,23800,58050.87890625
1712892295.6517956,24000,41267.49609375
1712893412.0197895,24200,28107.703125
1712894587.3541849,24400,52011.98046875
1712895811.1294148,24600,24204.125
1712896924.67133,24800,14663.1630859375
1712898075.6232736,25000,22107.720703125
1712899211.5306277,25200,34943.109375
1712900284.8755097,25400,73010.703125
1712901474.9142253,25600,21665.8671875
1712902609.7235875,25800,71518.9765625
1712903776.5719485,26000,20074.6015625
1712904877.926587,26200,35480.5859375
1712905947.9710956,26400,49315.03125
1712907176.8617642,26600,30255.1484375
1712908322.9124494,26800,9010.9716796875
1712909410.6719527,27000,28208.314453125
1712910713.0380409,27200,19978.5234375
1712911893.3353965,27400,17751.591796875
1712913074.908657,27600,26613.1171875
1712914221.4601865,27800,35032.2421875
1712915374.301911,28000,24192.87109375
1712916559.4919317,28200,29542.5234375
1712917735.6817658,28400,40013.55078125
1712918892.2999792,28600,22297.28515625
1712920052.0285313,28800,32940.515625
1712921247.6354127,29000,36641.59375
1712922310.5239074,29200,10005.771484375
1712923419.2111924,29400,28161.15234375
1712924587.6025498,29600,14800.951171875
1712925732.6466904,29800,13002.263671875
1712926796.0546336,30000,21344.015625
1712927929.2227206,30200,16371.943359375
1712929112.369125,30400,18823.58984375
1712930184.4138951,30600,19815.185546875
1712931396.4407482,30800,44711.77734375
1712932515.1546032,31000,11618.314453125
1712933616.9673276,31200,28384.23828125
1712934767.6491208,31400,14089.833984375
1712935873.4377208,31600,12917.5947265625
1712937022.467093,31800,9223.8740234375
1712938182.5196257,32000,13905.498046875
1712939308.3125584,32200,11859.7900390625
1712940512.0265036,32400,8150.8681640625
1712941666.857196,32600,31944.615234375
1712942920.948257,32800,17055.095703125
1712944019.631709,33000,13695.66796875
1712945232.080548,33200,13943.1953125
1712946378.8154747,33400,7032.8798828125
1712947456.8657727,33600,6823.2939453125
1712948562.1248639,33800,7500.6435546875
1712949618.6677608,34000,16309.75
1712950723.237613,34200,22041.158203125
1712951860.180833,34400,8794.1474609375
1712952986.0805101,34600,8195.734375
1712954126.168195,34800,12106.0908203125
1712955280.8311443,35000,59194.99609375
1712956394.8746216,35200,45901.8984375
1712957505.4267056,35400,7860.0625
1712958634.416327,35600,5659.88232421875
1712959689.4968274,35800,9358.484375
1712960766.451607,36000,30982.65625
1712961906.4734871,36200,57112.078125
1712963061.8029742,36400,4649.75390625
1712964275.3701124,36600,7925.666015625
1712965377.5465553,36800,3059.1162109375
1712966545.7092242,37000,5587.8662109375
1712967696.981121,37200,7804.81201171875
1712968851.2511978,37400,4432.2109375
1712970019.0442626,37600,8054.17041015625
1712971210.9318693,37800,4956.6962890625
1712972416.3125918,38000,3817.284912109375
1712973509.1230955,38200,4524.87109375
1712974632.4122922,38400,3301.236328125
1712975801.6692336,38600,13422.00390625
1712976966.45653,38800,4650.5009765625
1712978159.3890293,39000,4611.1435546875
1712979304.7968416,39200,2771.91064453125
1712980434.6828706,39400,4808.087890625
1712981505.4312754,39600,6696.150390625
1712982620.00212,39800,4852.4267578125
1712983707.9032192,40000,8337.93359375
1712984800.0060306,40200,32875.44921875
1712985964.9477663,40400,5711.6376953125
1712987133.2771728,40600,45539.40625
1712988230.0021188,40800,3260.435791015625
1712989402.5704489,41000,2948.861328125
1712990561.9771476,41200,23236.328125
1712991795.7367609,41400,4182.0693359375
1712992949.6935873,41600,44100.9609375
1712994057.982874,41800,5910.6943359375
1712995199.1389556,42000,3897.467041015625
1712996339.6356475,42200,3121.43212890625
1712997549.9027755,42400,2175.79248046875
1712998823.8151026,42600,4555.1474609375
1713000044.266448,42800,3475.423583984375
1713001206.4843411,43000,2961.7470703125
1713002397.1814938,43200,2159.62841796875
1713003509.8102882,43400,4231.4482421875
1713004622.8503852,43600,3390.603515625
1713005823.223266,43800,3793.45703125
1713007064.541408,44000,3788.5478515625
1713008165.1236157,44200,3562.488037109375
1713009272.3751142,44400,3821.6533203125
1713010400.6321735,44600,12778.013671875
1713011637.6955462,44800,2897.26953125
1713012797.5211408,45000,3518.356201171875
1713013921.3319173,45200,4414.7353515625
1713015100.2133431,45400,3620.212890625
1713016355.2337086,45600,2461.92431640625
1713017484.0827549,45800,3591.068359375
1713018750.1684623,46000,4709.185546875
1713019906.2832417,46200,3330.914306640625
1713021114.9173057,46400,2602.083984375
1713022251.2583058,46600,2951.64013671875
1713023470.3133242,46800,1501.3021240234375
1713024579.737155,47000,2851.6611328125
1713025788.8095255,47200,2685.697265625
1713026967.917503,47400,2787.509765625
1713028098.728422,47600,14180.4716796875
1713029170.8196416,47800,5636.92236328125
1713030329.43775,48000,3005.43505859375
1713031520.3103557,48200,3639.9921875
1713032631.755298,48400,6220.42236328125
1713033743.0689628,48600,2412.02197265625
1713034933.0672245,48800,2453.14404296875
1713036134.5716326,49000,3868.35595703125
1713037196.5113714,49200,18850.521484375
1713038376.5511942,49400,4265.9677734375
1713039482.16457,49600,23650.34375
1713040596.9465766,49800,3174.45751953125
1713041760.7843125,50000,3122.06494140625
1713042913.3272629,50200,3582.6220703125
1713044054.5920012,50400,32083.67578125
1713045227.5116477,50600,5527.978515625
1713046365.3494525,50800,35172.98046875
1713047519.2709532,51000,4004.860107421875
1713048695.2857964,51200,2070.0419921875
1713049843.2452607,51400,2757.370849609375
1713050960.2529697,51600,23594.107421875
1713052181.6749804,51800,3075.52099609375
1713053402.2376785,52000,2644.20166015625
1713054626.4932132,52200,1503.90966796875
1713055761.5352378,52400,3513.7158203125
1713057001.6451292,52600,5217.64794921875
