Wall time,Step,Value
1716665345.507208,18,-861.4078979492188
1716666991.395706,42,-920.047607421875
1716667257.501209,45,-2732.657470703125
1716668934.856688,71,-750.3154296875
1716670030.916953,94,-2600.801025390625
1716672384.853422,155,-320.0
1716672464.269527,158,-500.0550842285156
1716672729.149536,167,-720.0
1716674670.150085,229,-310.0
1716674869.132633,234,-899.7283325195312
1716675514.406369,255,-654.1466674804688
1716675969.02961,267,-499.8747253417969
1716676083.517542,273,-310.0
1716677216.697513,308,-460.0
1716677290.47414,310,-719.8243408203125
1716677602.514406,318,-999.7608032226562
1716678538.431595,347,-960.3961181640625
1716679268.855432,367,-1846.4881591796875
1716680735.612073,421,-310.0
1716681974.230943,460,-1159.1427001953125
1716682294.20982,474,-310.0
1716683988.239027,536,-750.1331787109375
1716684785.27151,563,-995.7335205078125
1716685217.206437,579,-1517.5062255859375
1716685446.135644,586,-432.18731689453125
1716685453.262743,587,-270.0
1716686110.792188,620,-310.0
1716686588.53434,634,-637.1475830078125
1716686849.646634,647,-310.0
1716687115.99919,661,-280.0
1716687433.872893,671,-420.4414978027344
1716688899.019792,714,-280.0
1716689100.107367,722,-1706.92626953125
1716689243.140478,730,-310.0
1716690233.735298,765,-110.0
1716690307.343572,769,-300.0
1716690337.512251,771,-460.0
1716690725.348993,785,-310.0
1716690748.093518,787,-300.0
1716690900.373983,794,-300.0
1716691088.649809,802,-1380.646240234375
1716691291.210189,808,-891.291259765625
1716691893.8885,836,-330.0
1716694889.331281,945,-300.0
1716695645.299503,971,-330.0
1716695658.226011,972,-310.0
1716695817.835606,978,-442.86810302734375
1716695912.506037,984,-420.4291076660156
1716696318.351579,1002,-280.0
1716696360.112946,1005,-169.9100799560547
1716696585.991374,1014,-310.0
1716697889.978178,1063,-460.0955505371094
1716697928.801781,1066,-431.76263427734375
1716698306.981181,1078,-1107.88525390625
1716698805.873218,1093,-339.6435852050781
1716699024.322198,1099,-1177.612060546875
1716699104.7943,1104,-270.0
1716700630.810367,1156,-280.0
1716700717.411385,1161,-330.0
1716700762.752546,1162,-1079.984619140625
1716701112.183859,1180,-1162.4012451171875
1716701508.970644,1193,-310.0
1716702829.923161,1244,-937.6403198242188
1716703285.443438,1261,-330.0
1716704432.020226,1316,-530.2332763671875
1716704496.686382,1319,-475.382568359375
1716704797.845844,1333,-349.8750305175781
1716704924.070102,1337,-1243.23388671875
1716706144.137569,1385,-310.0
1716706281.435455,1392,-300.0
1716706847.237656,1414,-560.36572265625
1716707195.189081,1426,-580.240478515625
1716707431.377306,1436,-1504.821533203125
1716708398.599145,1466,-310.0
1716708796.198033,1477,-440.0509338378906
1716709118.008327,1491,-250.68704223632812
1716710055.577293,1523,-310.0
