Wall time,Step,Value
1716665365.100138,19,39211.7421875
1716667121.21488,43,33232.5625
1716667349.332494,46,35304.796875
1716668977.888217,72,34523.34765625
1716670048.911701,95,32780.1953125
1716672407.221162,156,39373.203125
1716672472.482499,159,34079.08984375
1716672785.602253,168,33767.2265625
1716674729.618986,230,46597.0546875
1716674915.249074,235,40599.5234375
1716675532.713213,256,45370.15625
1716675991.780878,268,42462.15625
1716676099.755729,274,40830.80078125
1716677259.999408,309,49130.29296875
1716677302.487225,311,39229.80078125
1716677617.119274,319,49343.234375
1716678581.644642,348,45416.6171875
1716679279.659617,368,-1350.93408203125
1716680777.153334,422,42388.34375
1716681986.744203,461,41722.41796875
1716682323.173039,475,58558.5
1716684056.322659,537,61189.7421875
1716684796.087286,564,48366.890625
1716685229.762123,580,57808.79296875
1716685453.263719,587,36323.734375
1716685464.431692,588,35145.5625
1716686186.206632,621,37954.4609375
1716686596.615,635,42395.671875
1716686862.373595,648,45194.4296875
1716687143.894137,662,40892.59765625
1716687510.302735,672,45518.0625
1716688911.469661,715,52154.4140625
1716689141.738078,723,47918.3203125
1716689289.986344,731,37634.12109375
1716690248.13747,766,56889.0703125
1716690315.804789,770,43024.421875
1716690348.020154,772,36136.66015625
1716690737.346937,786,50985.94140625
1716690781.352645,788,45999.21875
1716690912.683436,795,42842.1171875
1716691164.504884,803,51258.62890625
1716691306.467964,809,40023.87890625
1716691960.224857,837,37139.609375
1716694916.748001,946,30008.3828125
1716695658.227794,972,43620.890625
1716695664.080577,973,48568.0625
1716695832.418938,979,56352.9765625
1716695958.340036,985,57678.2109375
1716696337.156197,1003,45603.625
1716696370.619928,1006,49605.6484375
1716696598.032789,1015,49331.296875
1716697903.532356,1064,45577.625
1716697948.779276,1067,49136.04296875
1716698318.375898,1079,43820.76953125
1716698817.067645,1094,56644.75
1716699036.203464,1100,42906.77734375
1716699111.550603,1105,45474.796875
1716700646.747364,1157,50593.8359375
1716700762.754111,1162,54686.359375
1716700779.350694,1163,52335.18359375
1716701121.64796,1181,34398.7890625
1716701547.921124,1194,44169.4140625
1716702842.484462,1245,52540.40234375
1716703311.837408,1262,62704.68359375
1716704443.979805,1317,49888.4453125
1716704519.94599,1320,52432.58203125
1716704810.245724,1334,47241.1953125
1716704946.381639,1338,49013.32421875
1716706155.930303,1386,44666.578125
1716706307.528336,1393,61713.04296875
1716706885.577136,1415,47725.6640625
1716707211.028658,1427,47132.75
1716707442.086025,1437,58496.44921875
1716708426.876612,1467,50471.3046875
1716708838.439632,1478,40592.0
1716709149.141054,1492,56039.734375
1716710153.59542,1524,50597.703125
1716710810.112223,1553,35320.63671875
1716711304.391984,1569,59747.52734375
1716711747.24341,1585,44514.625
1716711871.382978,1589,43945.87890625
1716712291.255909,1606,49802.0234375
1716713227.42771,1641,60233.078125
1716714161.342399,1683,60936.671875
1716714409.731338,1692,57582.01171875
1716714650.78592,1703,42214.3203125
1716714885.350922,1710,37621.7578125
1716715150.557568,1719,56952.578125
1716715441.919399,1733,64991.9453125
1716715475.79917,1735,34347.9453125
1716715528.807282,1738,61592.25390625
1716716821.615279,1782,48020.7265625
1716718112.736565,1827,25821.61328125
1716718771.831399,1845,48396.51171875
1716719054.921886,1854,44887.9609375
1716719487.20794,1867,42799.7578125
1716719574.359279,1870,39999.3046875
1716719789.552774,1878,52857.0859375
1716720740.085032,1918,53961.5078125
1716721243.223849,1935,50467.79296875
1716721456.459797,1945,48456.97265625
1716721507.834021,1948,48484.3125
1716722805.89042,2002,37590.109375
1716723095.004378,2014,41271.3828125
1716723576.829426,2037,44771.40625
1716724468.394758,2077,60588.390625
1716724486.419926,2078,59971.2265625
1716724623.252593,2086,50427.8828125
1716724716.522968,2090,53945.4453125
1716724923.965931,2097,51743.03125
1716726270.589452,2150,65676.9375
1716726563.09018,2157,55300.65625
1716727370.857493,2188,51761.28125
1716727458.635932,2192,45910.234375
1716727731.303685,2200,51604.90234375
1716727991.160414,2208,44869.16796875
1716728064.674926,2212,46863.5234375
1716728579.042978,2232,64627.5390625
1716728719.151644,2237,50419.5625
1716728730.96695,2238,46435.94140625
1716729208.44219,2258,53915.8046875
1716729352.724304,2263,42903.5390625
1716729940.70035,2282,44591.921875
1716730272.947769,2298,52739.5
1716730453.444491,2308,47249.87109375
1716730833.52948,2320,67017.34375
1716731339.386904,2346,45918.5546875
1716731534.418351,2355,54120.171875
1716732381.942517,2390,55528.78515625
1716732430.08391,2391,57727.1171875
1716732469.724419,2393,57439.8203125
1716733615.184598,2437,49610.15625
1716733831.235314,2445,48764.859375
1716733986.452366,2454,62023.6171875
1716734110.206367,2456,54239.2578125
1716734193.020304,2461,54651.78515625
1716734770.650073,2486,44029.40625
1716734778.549889,2487,47712.0625
1716735021.694608,2497,56416.71875
1716735096.93389,2499,53685.98828125
1716735209.311147,2504,48086.5703125
1716735561.504246,2518,44121.1484375
1716735679.22082,2524,44249.109375
1716735869.78103,2533,50569.78515625
1716736435.463586,2548,46951.38671875
1716736700.995452,2554,48182.8671875
1716738204.503852,2607,36637.3515625
1716740685.712344,2686,61353.3515625
1716741088.186386,2704,59210.921875
1716742147.15072,2741,50544.828125
1716742527.461809,2755,45137.234375
1716743438.611613,2790,45262.0078125
1716745668.086023,2873,45576.2734375
1716746098.742706,2897,37505.171875
1716747952.491887,2968,72021.046875
1716748168.724499,2976,60668.4296875
1716749097.35499,3012,48477.125
1716749649.895599,3039,50365.32421875
1716749750.416633,3042,55117.66796875
1716751258.850452,3100,49908.62109375
1716752839.567128,3162,57167.91796875
1716753290.342274,3178,54022.6328125
1716753766.147352,3196,54155.40625
1716753778.106608,3197,54808.6015625
1716754780.561272,3231,62680.265625
1716755118.441207,3241,70165.6015625
1716755177.871436,3244,54431.7578125
1716755189.735916,3245,67513.7734375
1716755253.196088,3247,45790.6484375
1716755265.487139,3248,44525.21875
1716756776.799878,3306,72408.140625
1716757725.242386,3346,50027.0625
1716758539.50525,3377,60617.12890625
1716759307.457296,3404,64176.95703125
1716759580.589956,3409,49124.97265625
1716760104.956543,3431,50846.0078125
1716760583.784169,3450,53204.9296875
1716760831.609573,3465,38699.69921875
1716761391.081791,3481,47692.62109375
1716762074.394842,3510,62912.9375
1716762179.965921,3513,62236.453125
1716762799.972247,3538,47488.4453125
1716764610.369445,3601,45886.99609375
1716765131.670047,3619,68292.25
1716765161.415724,3621,56825.44140625
1716765271.017737,3623,68762.7421875
1716765445.9776,3629,48008.3515625
1716766176.793387,3657,54547.5859375
1716766480.264114,3671,41330.2734375
1716768073.7096,3727,60425.0625
1716768198.126964,3731,56206.5625
1716768430.824786,3742,61636.3515625
1716769942.673664,3794,42495.61328125
1716770418.106849,3815,56582.6875
1716770538.752978,3820,51063.28515625
1716770609.387384,3822,54940.7890625
1716770745.396129,3832,55434.80078125
1716771896.577916,3865,53361.515625
1716772188.204841,3877,49710.109375
1716773573.538218,3929,54529.01953125
1716774275.955858,3957,60997.51171875
1716774866.96212,3985,57328.59375
