Wall time,Step,Value
1716665365.099613,19,1300.7071533203125
1716667121.214416,43,2059.978515625
1716667349.332056,46,2156.38525390625
1716668977.887427,72,1253.132568359375
1716670048.911182,95,2551.36181640625
1716672407.220751,156,5184.1787109375
1716672472.482073,159,1728.7691650390625
1716672785.601805,168,2591.0986328125
1716674729.618332,230,3664.91552734375
1716674915.248313,235,2750.49853515625
1716675532.712464,256,3927.87548828125
1716675991.780442,268,3050.459716796875
1716676099.755298,274,2367.62646484375
1716677259.998925,309,5906.09765625
1716677302.486774,311,3100.04833984375
1716677617.118816,319,4896.52978515625
1716678581.644212,348,4646.10498046875
1716679279.65919,368,7677.056640625
1716680777.152905,422,3992.484375
1716681986.743763,461,4985.0322265625
1716682323.172283,475,2766.7109375
1716684056.321903,537,5420.5546875
1716684796.086747,564,5068.8486328125
1716685229.761692,580,4846.2705078125
1716685453.263257,587,4820.64501953125
1716685464.431264,588,5479.7529296875
1716686186.205845,621,4507.3447265625
1716686596.614487,635,3537.02587890625
1716686862.373162,648,5826.494140625
1716687143.893695,662,3945.916259765625
1716687510.302275,672,4022.53759765625
1716688911.468632,715,3563.734375
1716689141.737627,723,2547.96435546875
1716689289.985893,731,4331.63037109375
1716690248.13704,766,6380.1806640625
1716690315.804363,770,6115.0810546875
1716690348.019248,772,2975.8916015625
1716690737.346495,786,3769.371826171875
1716690781.352212,788,3187.0029296875
1716690912.6829,795,4772.119140625
1716691164.50444,803,7203.95654296875
1716691306.467522,809,5610.50146484375
1716691960.223829,837,5375.83740234375
1716694916.747186,946,4549.86376953125
1716695658.226937,972,2445.027099609375
1716695664.079873,973,4723.080078125
1716695832.418169,979,4134.572265625
1716695958.339586,985,7261.34423828125
1716696337.155771,1003,6257.5830078125
1716696370.619497,1006,4854.533203125
1716696598.032359,1015,3292.689697265625
1716697903.531925,1064,3524.5634765625
1716697948.778778,1067,4391.50634765625
1716698318.375188,1079,4750.5771484375
1716698817.067212,1094,4960.77099609375
1716699036.20253,1100,4383.0732421875
1716699111.550174,1105,5054.37890625
1716700646.746921,1157,2405.6396484375
1716700762.753346,1162,4369.61767578125
1716700779.350255,1163,3978.615966796875
1716701121.647162,1181,6128.38037109375
1716701547.920689,1194,4331.67236328125
1716702842.484027,1245,3952.38525390625
1716703311.836967,1262,4640.615234375
1716704443.979013,1317,4111.0224609375
1716704519.945496,1320,5108.84375
1716704810.244946,1334,5017.2978515625
1716704946.38116,1338,3565.60400390625
1716706155.929424,1386,5717.3037109375
1716706307.5279,1393,5977.083984375
1716706885.576691,1415,2999.355712890625
1716707211.028206,1427,4995.45654296875
1716707442.085596,1437,4614.92333984375
1716708426.875862,1467,4824.9296875
