Wall time,Step,Value
1717079913.688177,18,-2280.0
1717080376.771879,24,-500.12469482421875
1717081453.622365,40,-4210.61572265625
1717081472.962384,42,-310.0
1717081549.967971,45,-740.034912109375
1717082441.499894,56,-2830.707763671875
1717083433.620802,71,-528.6972045898438
1717083654.661754,74,-330.0
1717085427.65737,94,-510.2068786621094
1717090261.690105,155,-410.54718017578125
1717090369.628079,158,-999.5297241210938
1717090919.488299,167,-300.0
1717091684.873613,183,-1041.0736083984375
1717091957.998045,185,-5060.06884765625
1717094506.41746,229,-850.0
1717094761.6704,234,-821.24609375
1717095674.755143,249,-509.99774169921875
1717096110.469197,255,-2018.1527099609375
1717096333.842481,260,-1992.7957763671875
1717096710.070322,267,-320.0
1717097429.262255,273,-479.865966796875
1717099335.242895,308,-400.023681640625
1717099404.79334,310,-1391.1259765625
1717100322.13874,318,-510.99810791015625
1717101709.048845,339,-370.4158935546875
1717102334.172318,347,-931.01025390625
1717103603.381771,367,-1092.533935546875
1717106607.033017,421,-650.0
1717106646.695332,422,-920.4395751953125
1717107622.027106,439,-952.0740356445312
1717107703.948934,442,-971.493408203125
1717107751.867007,445,-300.0
1717108697.587183,460,-250.0
1717108844.509019,463,-359.6929931640625
1717108876.618784,464,-681.532470703125
1717109240.330124,474,-410.0146789550781
1717110216.558488,493,-610.3001098632812
1717111570.977754,514,-2131.994384765625
1717112250.245942,531,-700.2001342773438
1717112386.12024,536,-300.0
1717113554.007808,563,-330.0
1717113822.269496,573,-781.9728393554688
1717114048.528537,579,-670.216064453125
1717114442.486231,586,-2280.0
1717114473.451182,587,-741.387451171875
1717115749.052645,620,-3474.03759765625
1717115805.397005,622,-440.10107421875
1717116251.592933,634,-570.3536376953125
1717116734.431313,641,-210.2260284423828
1717116744.230369,642,-330.08306884765625
1717116874.021146,644,-2065.513427734375
1717117036.295382,647,-1261.12255859375
1717117145.667105,649,-600.8746337890625
1717117697.831067,661,-948.0360717773438
1717117959.222401,671,-643.8831176757812
1717119759.782591,714,-260.0
1717119972.366153,722,-320.0
1717120261.279948,730,-1945.7437744140625
1717120592.768157,739,-1643.30029296875
1717121181.916515,752,-410.03936767578125
1717121368.299611,756,-881.6873168945312
1717121682.973208,765,-560.49365234375
1717121795.106212,769,-330.0
1717121941.569663,771,-310.0
1717122015.548697,773,-691.3545532226562
1717122253.679489,780,-390.3376770019531
1717122522.035454,785,-721.8052978515625
1717122646.704231,787,-1303.3719482421875
1717122783.406268,792,-559.9456787109375
1717122828.769209,794,-601.7029418945312
1717122931.55711,798,-310.0
1717123081.136202,802,-199.92115783691406
1717123314.872019,808,-1110.0
1717123401.611274,809,-1717.4808349609375
1717124078.212998,832,-320.0
1717124217.408223,836,-110.11296844482422
1717125334.372278,869,60.0
1717125649.061283,876,-3224.121826171875
1717125886.500177,882,-902.580810546875
1717126457.180456,896,-2066.881103515625
1717126620.645073,900,-1833.489990234375
1717126788.239947,907,-310.0
1717126861.093321,909,-100.0
1717127230.282168,917,-269.38104248046875
1717127713.471706,931,-822.6463623046875
1717128017.579916,942,-440.1636047363281
1717128157.630105,945,-1300.9365234375
1717128469.970992,954,-700.7529907226562
1717128936.625324,962,-180.72947692871094
1717129361.173746,971,-510.1769104003906
1717129467.096709,972,-2103.755615234375
1717129624.526861,978,-722.0884399414062
1717129652.33442,979,-590.0
1717129775.505037,984,-350.4234619140625
1717130471.704978,1002,-320.9966735839844
1717130555.718372,1005,-250.0
1717130783.316177,1014,-430.7272033691406
1717132255.19683,1057,-50.0
1717132498.726459,1063,-801.2985229492188
1717132719.839849,1066,-2603.005859375
1717132806.190848,1068,-489.9612731933594
