Wall time,Step,Value
1717079913.689026,18,33627.11328125
1717080376.772637,24,40757.296875
1717081453.623156,40,45563.484375
1717081472.963311,42,45897.97265625
1717081549.968821,45,37795.03125
1717082441.500963,56,4434.2958984375
1717083433.621848,71,-10752.962890625
1717083654.662821,74,-7978.857421875
1717085427.658089,94,45617.359375
1717090261.691125,155,45410.6953125
1717090369.628846,158,43925.69921875
1717090919.489057,167,44249.98046875
1717091684.874349,183,51058.5234375
1717091957.998842,185,56235.1328125
1717094506.418399,229,43918.1796875
1717094761.671144,234,50946.32421875
1717095674.755899,249,40433.0390625
1717096110.470123,255,41411.859375
1717096333.843466,260,47023.4375
1717096710.071071,267,30496.451171875
1717097429.263042,273,28076.27734375
1717099335.243679,308,48631.16015625
1717099404.794081,310,41360.25
1717100322.139546,318,45515.65625
1717101709.04955,339,51913.40625
1717102334.173265,347,48231.98828125
1717103603.382557,367,48978.890625
1717106607.033769,421,32703.103515625
1717106646.696066,422,41623.2578125
1717107622.027912,439,48890.75
1717107703.949866,442,45873.49609375
1717107751.867735,445,44124.609375
1717108697.587903,460,41993.96875
1717108844.509943,463,44308.23046875
1717108876.619608,464,43055.96875
1717109240.331035,474,50950.78125
1717110216.559191,493,42276.52734375
1717111570.97848,514,42717.1953125
1717112250.246904,531,30405.45703125
1717112386.121057,536,46259.453125
1717113554.008589,563,45971.80078125
1717113822.270248,573,42723.328125
1717114048.529301,579,43712.0234375
1717114442.486977,586,40582.39453125
1717114473.452043,587,48384.06640625
1717115749.05345,620,59448.91015625
1717115805.397798,622,56738.734375
1717116251.593848,634,36137.05859375
1717116734.432339,641,51600.015625
1717116744.23105,642,55843.0078125
1717116874.02191,644,59577.3046875
1717117036.296147,647,54220.9140625
1717117145.667894,649,56569.515625
1717117697.832023,661,58361.48046875
1717117959.223135,671,48091.0703125
1717119759.783378,714,54648.96875
1717119972.367169,722,54555.328125
1717120261.280659,730,44944.91015625
1717120592.768915,739,44413.71875
1717121181.917223,752,53536.375
1717121368.301008,756,52544.34375
1717121682.973991,765,53727.3046875
1717121795.106962,769,55234.875
1717121941.570495,771,49195.51171875
1717122015.549612,773,67536.0234375
1717122253.680233,780,39014.79296875
1717122522.036202,785,52374.78515625
1717122646.704999,787,48813.45703125
1717122783.407174,792,64681.9453125
1717122828.770087,794,42152.0703125
1717122931.558029,798,54239.640625
1717123081.13695,802,47018.53125
1717123314.872739,808,46633.9765625
1717123401.612085,809,54124.5546875
1717124078.213703,832,47246.7109375
1717124217.408914,836,63421.8203125
1717125334.373009,869,40972.11328125
1717125649.062221,876,57976.984375
1717125886.50115,882,50330.3984375
1717126457.181365,896,55510.125
1717126620.64586,900,53479.5859375
1717126788.240927,907,50285.2734375
1717126861.094252,909,49758.30859375
1717127230.282926,917,43005.234375
